Cell#,ROI Name,ROI#,RMS,Reflectance,RMS_t^2,Diffusion
16,nuc,15,None,None,0.008639236,0.004187488
16,nuc,16,None,None,0.006370297,0.004675461
16,nuc,17,None,None,0.005577884,0.005247938
16,nuc,18,None,None,0.005866567,0.004573852
16,nuc,19,None,None,0.007567068,0.003700549
16,nuc,2,None,None,0.007930853,0.004311789
16,nuc,20,None,None,0.005988378,0.004055525
16,nuc,21,None,None,0.005044793,0.004362818
16,nuc,3,None,None,0.008663586,0.004177815
16,nuc,4,None,None,0.0071262,0.004307691
16,nuc,5,None,None,0.008875015,0.003777882
16,nuc,6,None,None,0.00918192,0.003165003
16,nuc,7,None,None,0.005320874,0.005088017
16,nuc,8,None,None,0.007410652,0.004381038
16,nuc,9,None,None,0.005972889,0.004835798
17,nuc,0,None,None,0.007629004,0.003853203
17,nuc,1,None,None,0.007144442,0.004243156
17,nuc,10,None,None,0.007365559,0.00434373
17,nuc,11,None,None,0.008283442,0.003847773
17,nuc,12,None,None,0.006818879,0.004642748
17,nuc,13,None,None,0.008237393,0.004619915
17,nuc,14,None,None,0.007116958,0.004866902
17,nuc,15,None,None,0.008967833,0.004285805
17,nuc,16,None,None,0.006237742,0.00481869
17,nuc,17,None,None,0.005793903,0.005151709
17,nuc,18,None,None,0.006270545,0.004429139
17,nuc,19,None,None,0.007399831,0.003720999
17,nuc,2,None,None,0.008840526,0.004282017
17,nuc,20,None,None,0.005973834,0.003925918
17,nuc,21,None,None,0.004975946,0.004442217
17,nuc,3,None,None,0.00864663,0.003920661
17,nuc,4,None,None,0.007423252,0.004266805
17,nuc,5,None,None,0.008549809,0.003830847
17,nuc,6,None,None,0.008330234,0.003411043
17,nuc,7,None,None,0.006010194,0.004594626
17,nuc,8,None,None,0.006300097,0.004563866
17,nuc,9,None,None,0.00699727,0.004699821
18,nuc,0,None,None,0.007908693,0.003800956
18,nuc,1,None,None,0.007312803,0.004310095
18,nuc,10,None,None,0.007047888,0.004386941
18,nuc,11,None,None,0.006231943,0.004533295
18,nuc,12,None,None,0.006699384,0.004948995
18,nuc,13,None,None,0.007971151,0.004817026
18,nuc,14,None,None,0.007970501,0.004699157
18,nuc,15,None,None,0.008284625,0.004345881
18,nuc,16,None,None,0.006557451,0.00462638
18,nuc,17,None,None,0.00580016,0.005121861
18,nuc,18,None,None,0.006440759,0.004449865
18,nuc,19,None,None,0.007394781,0.00359552
18,nuc,2,None,None,0.009609561,0.004164894
18,nuc,20,None,None,0.005348739,0.004264556
18,nuc,21,None,None,0.005064182,0.00436651
18,nuc,3,None,None,0.007898241,0.004208306
18,nuc,4,None,None,0.007214462,0.004358258
18,nuc,5,None,None,0.009251431,0.003924187
18,nuc,6,None,None,0.008014505,0.003416426
18,nuc,7,None,None,0.005597561,0.004977163
18,nuc,8,None,None,0.006914537,0.004500052
18,nuc,9,None,None,0.006897516,0.004629616
19,nuc,0,None,None,0.007323748,0.003962113
19,nuc,1,None,None,0.007297352,0.004392877
19,nuc,10,None,None,0.006777534,0.004517693
19,nuc,11,None,None,0.005360682,0.005177848
19,nuc,12,None,None,0.007093164,0.004523873
19,nuc,13,None,None,0.007635051,0.004827939
19,nuc,14,None,None,0.007736062,0.004792352
19,nuc,15,None,None,0.008334651,0.004293317
19,nuc,16,None,None,0.006151859,0.00486336
19,nuc,17,None,None,0.006265706,0.004948515
19,nuc,18,None,None,0.005932883,0.004536655
19,nuc,19,None,None,0.00653739,0.003851475
19,nuc,2,None,None,0.008734565,0.004292663
19,nuc,20,None,None,0.006319179,0.004063991
19,nuc,21,None,None,0.004936091,0.004275867
19,nuc,3,None,None,0.00830813,0.004078485
19,nuc,4,None,None,0.007164036,0.004472889
19,nuc,5,None,None,0.00938428,0.003861684
19,nuc,6,None,None,0.008248295,0.003385081
19,nuc,7,None,None,0.006638732,0.004580827
19,nuc,8,None,None,0.00723564,0.004442346
19,nuc,9,None,None,0.006968166,0.004777013
20,nuc,0,None,None,0.007926971,0.003942216
20,nuc,1,None,None,0.007467404,0.004395831
20,nuc,10,None,None,0.006848963,0.004380283
20,nuc,11,None,None,0.007106102,0.004508874
20,nuc,12,None,None,0.006167308,0.004824863
20,nuc,13,None,None,0.007977666,0.004749867
20,nuc,14,None,None,0.007323951,0.004811594
20,nuc,15,None,None,0.008577629,0.004262544
20,nuc,16,None,None,0.006576175,0.004498797
20,nuc,17,None,None,0.005879083,0.005078958
20,nuc,18,None,None,0.006230438,0.004368763
20,nuc,19,None,None,0.007197676,0.003782343
20,nuc,2,None,None,0.008995106,0.004408988
20,nuc,20,None,None,0.006894904,0.003959941
20,nuc,21,None,None,0.004706695,0.004371437
20,nuc,3,None,None,0.008823235,0.003975116
20,nuc,4,None,None,0.007009166,0.004380172
20,nuc,5,None,None,0.008452621,0.004160138
20,nuc,6,None,None,0.007843659,0.003512781
20,nuc,7,None,None,0.007812883,0.004418278
20,nuc,8,None,None,0.006244444,0.00467791
20,nuc,9,None,None,0.007624181,0.00455308
