Cell#,ROI Name,ROI#,RMS,Reflectance,D
15,nuc,19,0.17163448,1.0599644,2.580082484
15,nuc,2,0.1846193,1.1652442,2.632778474
15,nuc,20,0.15441169,0.959085,2.500502898
15,nuc,21,0.13641569,0.8603331,2.402618449
15,nuc,3,0.18957472,1.1429398,2.651458675
15,nuc,4,0.19163412,1.1536379,2.658999416
15,nuc,5,0.18612403,1.1332613,2.638531312
15,nuc,6,0.17667477,1.0852648,2.601208357
15,nuc,7,0.16828905,1.0197234,2.565559306
15,nuc,8,0.16654578,1.1604301,2.557825321
15,nuc,9,0.17132576,1.1442676,2.578759413
16,nuc,0,0.16128202,1.1385205,2.533741028
16,nuc,1,0.15375358,1.1973898,2.497206594
16,nuc,10,0.14313717,1.1121167,2.441151178
16,nuc,11,0.112514265,0.9698615,2.243997118
16,nuc,12,0.13647474,1.1222476,2.402968069
16,nuc,13,0.15533398,1.0796676,2.505088888
16,nuc,14,0.16464034,1.2780889,2.549236758
16,nuc,15,0.14654323,1.1674042,2.459745182
16,nuc,16,0.11271251,1.113019,2.245457756
16,nuc,17,0.13002415,1.0701952,2.363592444
16,nuc,18,0.13736232,1.0643444,2.408199465
16,nuc,19,0.13237387,1.1079003,2.378214723
16,nuc,2,0.14525796,1.2166475,2.452798992
16,nuc,20,0.11793122,1.00528,2.2830231
16,nuc,21,0.11350273,0.8971056,2.251255367
16,nuc,3,0.14931016,1.1873459,2.474418194
16,nuc,4,0.1470128,1.1950846,2.462262113
16,nuc,5,0.15484083,1.1742469,2.502641601
16,nuc,6,0.12832741,1.1206805,2.352830465
16,nuc,7,0.13878816,1.0725889,2.416509869
16,nuc,8,0.13338181,1.2053903,2.384388356
16,nuc,9,0.14111522,1.1806656,2.429824299
17,nuc,0,0.15648863,1.1521183,2.510775614
17,nuc,1,0.1523769,1.1987312,2.490246078
17,nuc,10,0.1404395,1.104749,2.425989326
17,nuc,11,0.10859665,0.9587978,2.214648189
17,nuc,12,0.12735404,1.1146481,2.3465785
17,nuc,13,0.1596771,1.0926732,2.526166521
17,nuc,14,0.1657978,1.2644163,2.554470948
17,nuc,15,0.14322287,1.1539118,2.441626428
17,nuc,16,0.115077026,1.1122082,2.262688473
17,nuc,17,0.12750861,1.0773959,2.347575143
17,nuc,18,0.13172346,1.0700077,2.374199623
17,nuc,19,0.1288736,1.1074235,2.3563136
17,nuc,2,0.14617689,1.218979,2.457773859
17,nuc,20,0.11140275,1.0013802,2.23576355
17,nuc,21,0.11379625,0.896997,2.253398805
17,nuc,3,0.15081605,1.1871909,2.482246515
17,nuc,4,0.1442617,1.1954677,2.447356514
17,nuc,5,0.1566766,1.1580569,2.51169567
17,nuc,6,0.13116351,1.1277348,2.370723146
17,nuc,7,0.13749917,1.0722073,2.409002107
17,nuc,8,0.13177629,1.1946409,2.374526673
17,nuc,9,0.13934064,1.1930958,2.419698537
18,nuc,0,0.15776032,1.140505,2.516969226
18,nuc,1,0.14192262,1.1878757,2.434373779
18,nuc,10,0.13511647,1.1104572,2.394876025
18,nuc,11,0.11236716,0.9658558,2.242911725
18,nuc,12,0.12638241,1.1072444,2.340280154
18,nuc,13,0.15019734,1.0762405,2.479043405
